date,NonComm_Positions_Long_All,NonComm_Positions_Short_All,net,Open_Interest_All
2024-07-02,36714,220937,-184223,349817
2024-07-09,41521,223554,-182033,348954
2024-07-16,47356,198428,-151072,307205
2024-07-23,64390,171498,-107108,307183
2024-07-30,65016,138476,-73460,303151
2024-08-06,66169,77523,-11354,298937
2024-08-13,87101,63997,23104,315338
2024-08-20,88761,65176,23585,316197
2024-08-27,84305,58437,25868,318259
2024-09-03,91791,50675,41116,326795
2024-09-10,98894,43124,55770,376514
2024-09-17,97332,40492,56840,199463
2024-09-24,104690,38679,66011,207702
2024-10-01,95513,38741,56772,196200
2024-10-08,83679,47151,36528,196685
2024-10-15,86685,52575,34110,197871
2024-10-22,79364,66593,12771,207338
2024-10-29,64925,89742,-24817,225894
2024-11-05,60334,104501,-44167,235762
2024-11-12,64038,128940,-64902,257688
2024-11-19,78973,125841,-46868,254087
2024-11-26,87597,110230,-22633,253566
2024-12-03,93622,91288,2334,256849
2024-12-10,97938,72186,25752,274834
2024-12-17,87208,81247,5961,181673
2024-12-24,95958,93647,2311,200720
2024-12-31,96119,104562,-8443,206971
2025-01-07,91206,111395,-20189,212456
2025-01-14,91434,120845,-29411,223952
2025-01-21,94157,108830,-14673,211620
2025-01-28,96809,97768,-959,216788
2025-02-04,104684,85916,18768,231911
2025-02-11,144158,89543,54615,273314
2025-02-18,147566,86997,60569,281163
2025-02-25,171751,75771,95980,329186
2025-03-04,183955,50304,133651,354415
2025-03-11,176790,42888,133902,446178
2025-03-18,164752,41788,122964,296567
2025-03-25,160474,35098,125376,303778
2025-04-01,161566,39792,121774,311162
2025-04-08,176555,29488,147067,320758
2025-04-15,198560,26705,171855,338849
2025-04-22,202373,24559,177814,351226
2025-04-29,202797,23585,179212,366246
2025-05-06,204008,27149,176859,375546
2025-05-13,194226,21958,172268,359521
2025-05-20,194510,27180,167330,366865
2025-05-27,191802,27790,164012,377011
2025-06-03,189514,38365,151149,366008
2025-06-10,184195,39600,144595,388263
2025-06-17,175601,44724,130877,317523
2025-06-24,178403,46126,132277,314767
2025-07-01,170624,43286,127338,314251
2025-07-08,166192,50037,116155,308621
2025-07-15,165444,61862,103582,321350
2025-07-22,164411,57766,106645,313040
2025-07-29,162122,72879,89243,329115
2025-08-05,160258,78252,82006,337378
2025-08-12,164693,90459,74234,351163
2025-08-19,168363,90782,77581,348982
2025-08-26,170765,86281,84484,357366
2025-09-02,174774,101516,73258,414249
2025-09-09,180724,89081,91643,410799
2025-09-16,161673,100262,61411,299620
2025-09-23,176400,96900,79500,309893
2025-09-30,167811,106346,61465,305711
2025-10-07,159197,112890,46307,305134
2025-10-14,160639,123473,37166,305003
2025-10-21,175724,105310,70414,307569
2025-10-28,178745,110630,68115,321889
2025-11-04,170180,118915,51265,314190
2025-11-10,172349,123873,48476,312845
2025-11-18,169890,138733,31157,329456
2025-11-25,169218,142701,26517,344420
2025-12-02,184958,148540,36418,394859
2025-12-09,184488,167040,17448,465416
2025-12-16,146275,149217,-2942,379679
2025-12-23,141133,139910,1223,285084
2025-12-30,144596,130528,14068,286132
2026-01-06,140441,131626,8815,287715
2026-01-13,111743,156907,-45164,294242
2026-01-20,107139,151968,-44829,292607
2026-01-27,104460,138393,-33933,300726
2026-02-03,114428,133650,-19222,303673
2026-02-10,128090,147196,-19106,334948
2026-02-17,143172,130217,12955,354328
2026-02-24,149364,137825,11539,369721
2026-03-03,134945,151520,-16575,416977
2026-03-10,119411,160798,-41387,427718
2026-03-17,106819,174599,-67780,326688
2026-03-24,98271,161077,-62806,328210
2026-03-31,95356,168228,-72872,345276
2026-04-07,91560,185302,-93742,349373
2026-04-14,102114,185322,-83208,354344
2026-04-21,101386,195846,-94460,351782
2026-04-28,106530,208589,-102059,372780
2026-05-05,109035,170773,-61738,354005
2026-05-12,100155,175257,-75102,362042
2026-05-19,106603,200508,-93905,396573
2026-05-26,112993,227660,-114667,427294
