ym,days,close_eom,ret_m_pct,rv20_max,rv20_mean,max_abs_ret_pct,max_range_pct,sig3_days,vol_spot_mean,vol_band
2024-12,21,157.89,4.959801461848017,10.737041530743129,9.308389014880389,1.8706602384109539,1.4826175869120792,1,4683.714285714285,
2025-01,19,154.66,-1.927508206850094,8.13591412606431,6.788552959191907,0.7884908956067909,0.997554382803457,0,4778.210526315789,
2025-02,18,150.44,-3.391706161478299,9.88143240560949,8.3397097106726,1.2894207869067553,0.9988679496570554,0,5067.555555555556,
2025-03,20,149.14,-0.6949112556089232,9.87171629727379,8.965249559736645,1.1369911332192209,0.8135000672314158,0,4977.1,
2025-04,21,142.81,-4.665050473048617,14.692672375820434,12.271150332986267,2.3729106172749295,1.3854595336076692,2,4385.571428571428,警戒
2025-05,20,144.04,-0.22884098610488054,15.723423180600768,13.531759909502288,1.8835004733999863,1.5413737155219047,0,4298.65,無秩序
2025-06,21,144.13,0.8500608601307889,11.998406665389783,9.536029513842184,1.380557738665844,0.8885186727752334,0,3503.190476190476,
2025-07,22,149.39,4.315642166340883,10.030965544671801,9.050050794971524,0.8740139004813838,0.7564093982194227,0,3660.181818181818,
2025-08,20,147.01,-2.372821793051111,10.730672152654023,10.149031130988176,1.7827695537954724,0.7300764192139692,0,3203.85,
2025-09,20,148.07,0.6776471008405047,9.056244676909408,6.917597127458339,1.0685885531884407,1.1234443323242431,0,3770.7,
2025-10,22,154.31,4.771498578704769,11.016485179473094,9.7787751871874,1.7550798482303485,0.9265431275829797,1,4095.9545454545455,
2025-11,18,156.32,1.7618473866935664,10.586566968305029,7.310869816674347,1.2397117044192203,0.7487466631942036,0,4181.277777777777,
2025-12,22,155.98,0.3854064380077232,6.998898235013259,6.434164102972127,0.8993267871633481,0.8166390200331766,0,3869.090909090909,
2026-01,19,153.8,-2.046535162712385,12.438168172855,8.10713268843748,2.6420855568475776,1.1680030304943458,1,4343.526315789473,警戒
2026-02,18,156.09,0.7717576410654472,14.007817440671285,12.620317867612314,1.6592512365308083,1.0441355454487191,0,3820.6666666666665,警戒
2026-03,21,159.63,1.6676528224161289,8.931695914941388,6.9607123617549265,0.7220247973487132,0.6624625772342136,0,3683.5714285714284,
2026-04,21,160.14,0.8402883831452167,6.636890281853393,6.107928870647279,1.043772051582805,1.0492383540863388,0,4216.809523809524,
2026-05,16,159.36,1.7343304513496507,9.665488747180891,9.010378323031153,2.2225943321696047,1.1620482696973522,1,3092.25,
